ACARACOACARAPNA PNA;ACCC5L
Eco Securitizadora Direi...;ECOA-CRA92B0
Eco Securitizadora Direi...;ECOA-CRAA60B
Eco Securitizadora Direi...;ECOA-CRAA4B0
Eco Securitizadora Direi...;ECOA-CRA050B
ECO SEC AGRO;ECOA-CRA81B0
Eco Securitizadora Direi...;ECOA-CRA05B0
Eco Securitizadora Direi...;ECOA-CRA80B0
ECORODOVIAS ON;ECOR3
Edipan Agropecuaria PNB;EDPN6L
ENERGIAS BR ON;ENBR3
A�O ALTONA PN;EALT4
A�O ALTONA ON;EALT3
ELEKEIROZ ON;ELEK3L
ELEKEIROZ ON;ELEK3
ELEKEIROZ PN;ELEK4
ELEKEIROZ PN;ELEK4L
ELEKEIROZ PN;ELEK12L
ELEKEIROZ ON;ELEK11L
ELEKTRO PN;EKTR4
ELEKTRO ON;EKTR3
ELETROPAR ON;LIPR3
ELETRON ON;ETRO3B
ELETROPAULO ON;ELPL3L
ELETROPAULO ON;ELPL3
EMAE PN;EMAE4
EMAE ON;EMAE3
EMBRAER ON;EMBR3
Empreendimentos Pague Me... ON;PGMN3
ENCORPAR PN;ECPR4
ENCORPAR ON;ECPR3
ENAUTA ON;ENAT3
ENERGISA MT PN;ENMT2
ENERGISA MT ON;ENMT1
ENERGISA MT ON;ENMT3
ENERGISA MT PN;ENMT4
ENERGISA;ENGI-DEB81L1
ENERGISA;ENGI-DEB820B
ENERGISA;ENGI-DEB82L1
ENERGISA;ENGI-DEB81L0
ENERGISA;ENGI-DEB82B0
ENERGISA;ENGI-DEB82L0
ENERGISA;ENGI-DEB81B0
ENERGISA;ENGI12
ENERGISA ON;ENGI3
ENERGISA;ENGI-DEB810B
ENERGISA PN;ENGI4
ENEVA ON;ENEV3
ENGIE BRASIL ON;EGIE3
EQTL PARA PNB;EQPA6
EQTL PARA PNA;EQPA5
EQTL PARA PNC;EQPA7
EQTL PARA ON;EQPA3
EQUATORIAL ON;EQTL3
CELPA ON;CELP3
CELPA PNA;CELP5
CELPA PNC;CELP7
CELPA PNB;CELP6
ETERNIT ON;ETER9
ETERNIT ON;ETER3
ETERNIT ON;ETER1
EUCATEX PN;EUCA4
EUCATEX ON;EUCA3
EVEN ON;EVEN3
EXCELSIOR ON;BAUH3
EXCELSIOR PN;BAUH4
EZTEC ON;EZTC3
Fazenda Barreiro Santa Fe PNA;FBSF5L
Fazenda Estrela Sa Agrop... PNA;FEST5L
FD DE INV Imobliario Our...;OUFF12
FD iNav IM Ativ re Cotas;TGAR12
FDO INV IMOB FII UBS BR ...;RECT12
FERROVIA CENTRO ATL PN;VSPT4
FERROVIA CENTRO ATL ON;VSPT3
FER HERINGER ON;FHER3
Fiacao Algodao Moco Sa F... PNB;FMSA6L
Fibra Cia Securit De Cre...;BCFF12
Fibrasa Nordeste PNA;BRAS5L
FII ABSOLUTO CI;BPFF12
FII Capi Sec CI Mb;CPTS12B
FII CSHG CRI CI;HGCR12
Fii Fator Ve;VRTA12
FII HECTARE CI;HCTR12
FII HSI MALLCI;HSML12
FII Maxi Ren;MXRF12
FII Mongno CI;MGFF12
FII POLO CRI CI;PORD12
FII R Incomedm Brazil St...;RBCO12
FII RB Capital Desenvolv...;RBFF12
FII RBR PROPCI;RBRP12
FII RBRALPHACI;RBRF12
FII UBS CI;UBSR16
FII UBS CI;UBSR12
FII Valora CRI Indice de...;VGIP12
FII VINCILOGCI EB;VILG12
FII Vinvi SCCI;VISC13
FII XP Credito;XPCI12
FII XP HOT CI;XPHT14
FII XP INDL CI ER;XPIN12
ALFA FINANC ON;CRIV3
ALFA FINANC PN;CRIV4
FLEURY ON;FLRY3
Flex Gestao De Relaciona... ON;FLEX3
Fly Acai PNA PNA;FLYC5L
FORJA TAURUS ON;FJTA3
FORJA TAURUS PN;FJTA4
Frango Norte PNA PNA;FNAG5L
FRAS-LE ON;FRAS3
Frutivita PNA;FVIT5L
GAFISA;GFSA11
GAFISA;GFSA12
GAFISA ON;GFSA3
GAFISA ON;GFSA9
GAFISA ON;GFSA1
Gaia Agro Securitizadora;GAFL-CRA1DB0
Gaia Agro Securitizadora;GAFL-CRA02B0
Gaia Agro Securitizadora;GAFL-CRA1D0B
Gama Participacoes ON;OPGM3B
Gameleira Pna PNA;GPSA5L
Gemasa Pnc PNC;GESA7L
GENERAL SHOP ON;GSHP3
GERDAU PN;GGBR4
GERDAU ON;GGBR3
GOL PN;GOLL11
GOL PN;GOLL4
GOL PN;GOLL12
GPC PART PN;GPCP4
GPC PART ON;GPCP3
GRAMAZON PNA MB PNA;GRMZ5L
GRAZZIOTIN ON;CGRA3
GRAZZIOTIN PN;CGRA4
GRENDENE ON;GRND3
Grupo De Moda Soma ON;SOMA3
CENTAURO ON;CNTO3
Grupo Soma S.A;GSOM3
GUARARAPES ON;GUAR3
HAGA PN;HAGA4
HAGA ON;HAGA3
HAPVIDA ON;HAPV3
HELBOR ON;HBOR3
HERCULES ON;HETA3
HERCULES PN;HETA4
Hidrovias DO Brasil ON;HBSA3
Hoteis Global PNA;HTGL5L
HOTEIS OTHON PN;HOOT4
HOTEIS OTHON ON;HOOT3
Hotel Caicara PN;HCCR4L
HYPERA ON;HYPE3
I dividendos;IDIV11
Ibrasil;IBRA11
Iconsumo;ICON11
IDEIASNET ON;IDNT3
IFinanceiro;IFNC11
IGB S/A ON;IGBR3
Igc IGN Nm;IGNM11
IGC Trade;IGCT11
Igua Saneamento ON;IGSN3
IGUATEMI ON;IGTA3
Imat Basicos;IMAT11
Imobiliario;IMOB11
Imperador PNA;IAIC5L
Ind Fdo Imob IFI;IFIX11
Indice Bovespa;IBOV11
Indice Brasil;IBXX11
Indice Energia Eletrica;IEEX11
Indice Governanca Corpor...;IGCX11
Indice Ibrx 50;IBXL11
Indice Setor Indl;INDX11
Indice Tag Along;ITAG11
Indice Valor Bovespa Seg...;IVBX11
J B DUARTE ON;JBDU3
J B DUARTE PN;JBDU4
INDS ROMI ON;ROMI3
INEPAR;INEP-DCA710B
INEPAR;INEP-DCA71B0
INEPAR;INEP-DCA71L1
INEPAR;INEP-DCA61L1
INEPAR;INEP-DCA71L0
INEPAR;INEP-DCA61L0
INEPAR PN;INEP4
INEPAR ON;INEP3
INEPAR;INEP-DCA610B
INEPAR;INEP-DCA61B0
Inga Agroflorestal PN;INGA4L
Inncorp ON;SLCT3B
IHPARDINI ON;PARD3
INTER CONSTRUTORA ON;INNT3
INTERMEDICA ON;GNDI3
IMC S/A ON;MEAL3
INVEST BEMGE ON;FIGE3
INVEST BEMGE PN;FIGE4
Invests Participacoes In... PN;IVPR4B
Invests Participacoes In... ON;IVPR3B
IOCHP-MAXION ON;MYPK3
CELULOSE IRANI PN;RANI4
CELULOSE IRANI ON;RANI3
IRB BRASIL ON;IRBR9
IRB BRASIL ON;IRBR3
IRB BRASIL ON;IRBR9L
IRB BRASIL ON;IRBR1
Irrigacao Santo Andre Sa... PNA;IGSA5L
Ise Indice Sustentabilid...;ISEE11
Ishares Carbon Efficient;ICO211
ITAU UNIBANCO PN;ITUB4
ITAU UNIBANCO ON;ITUB3
ITAUSA PN;ITSA4
ITAUSA ON;ITSA3
Jahyr Seixas Goncalves A... PNA;JAHY5L
JBS ON;JBSS3
JEREISSATI ON;JPSA3
JHSF PART ON;JHSF3
JOAO FORTES ON;JFEN3
JOSAPAR ON;JOPA3
JOSAPAR PN;JOPA4
JSL ON;JSLG3
JSL ON;JSLG11
KARSTEN ON;CTKA3
KARSTEN PN;CTKA4
KEPLER WEBER ON;KEPL3
KEPLER WEBER;KEPL11
KLABIN PN;KLBN4
KLABIN ON;KLBN3
Lavvi Empreendimentos Im... ON;LAVV3
LIFEMED ON;LMED3
LIGHT ON;LIGT3
LINX ON;LINX3
LIQ ON;LIQO1
LIQ ON;LIQO3
Litel Participacoes ON;LTEL3B
LITEL PNA;LTEL5B
Litela Participacoes ON;LTLA3B
LOCALIZA ON;RENT3
LOCAWEB ON;LWSA3
LOG Commercial ON;LOGG3
LOG IN ON;LOGN3
LOJAS AMERIC ON;LAME9
LOJAS AMERIC PN;LAME10
LOJAS AMERICANAS PN;LAME4
LOJAS AMERICANAS ON;LAME3
LOJAS AMERIC PN;LAME2
LOJAS AMERIC ON;LAME1
LOJAS MARISA ON;AMAR3
Lojas Quero-Quero ON;LJQQ3
LOJAS RENNER ON;LREN3
LOPES BRASIL ON;LPSB3
LUPATECH ON;LUPA3
LUPATECH ON;LUPA11
M.DIAS BRANCO ON;MDIA3
MAESTRO LOCADORA ON;MSRO3
MAGAZINE LUIZA ON;MGLU3
METAL LEVE ON;LEVE3
Manaus Hoteis Turismo PNA;MNHT5L
MANGELS ON;MGEL3
MANGELS PN;MGEL4
ESTRELA ON;ESTR3
ESTRELA PN;ESTR4
MARCOPOLO PN;POMO4
MARCOPOLO ON;POMO3
MARFRIG ON;MRFG3
Maxvinil Pnb PNC;MAXV7L
Maxvinil Pnb PNB;MAXV6L
Melnick Even Desenvolvim... ON;MELK3
MENDES JR PNB;MEND6
MENDES JR PNA;MEND5
MENDES JR ON;MEND3
MERCANTIL DO BRASIL PN;MERC4
MERCANTIL DO BRASIL ON;MERC3
METALFRIO ON;FRIO3
METAL IGUA�U PN;MTIG4
METAL IGUA�U ON;MTIG3
GERDAU MET ON;GOAU3
GERDAU MET PN;GOAU4
RIO SULENSE ON;RSUL3
RIO SULENSE PN;RSUL4
METISA ON;MTSA3
METISA PN;MTSA4
Midlarge Cap;MLCX11
MILLS ON;MILS3
Minasmaquinas PN;MMAQ4
Minasmaquinas ON;MMAQ3
MINERVA ON;BEEF11
MINERVA ON;BEEF3
MINUPAR ON;MNPR3
Mitre Realty Empreendimentos E Participacoes LTDA;MTRE
MITRE REALTY ON;MTRE3
MMX MINER;MMXM11
MMX MINER ON;MMXM3
MONT ARANHA ON;MOAR3
MOURA DUBEAUX ON;MDNE3
MOVIDA ON;MOVI3
Mrs Logistica PNB;MRSA6B
Mrs Logistica ON;MRSA3B
Mrs Logistica PNA;MRSA5B
MRV ON;MRVE3
MULTIPLAN ON;MULT3
MUNDIAL ON;MNDL3
NADIR FIGUEI PN;NAFG4L
NADIR FIGUEI ON;NAFG11L
NADIR FIGUEI ON;NAFG3L
NADIR FIGUEIREDO PN;NAFG4
NADIR FIGUEIREDO ON;NAFG3
NADIR FIGUEI PN;NAFG12L
NATURA ON;NTCO1
NATURA ON;NTCO9
NATURA ON;NTCO9L
NATURA ON;NTCO3
NEOENERGIA ON;NEOE3
NORDON MET ON;NORD3
Nortec Quimica ON;NRTQ3
NUTRIPLANT ON;NUTR3
ODONTOPREV ON;ODPV3
DOMMO ON;DMMO3
DOMMO ON;DMMO11
OI PN;OIBR4
OI ON;OIBR3
Olvebasa Pnb PNB;OVBA6L
OMEGA GER ON;OMGE3
Opportunity Energia Part... ON;OPHE3B
OSX BRASIL ON;OSXB3
OUROFINO S/A ON;OFSA3
Padtec ON;PDTC
Padtec ON;PDTC3
PANATLANTICA ON;PATI9L
PANATLANTICA PN;PATI4
PANATLANTICA ON;PATI9
PANATLANTICA ON;PATI3
PANATLANTICA PN;PATI10
PANATLANTICA PN;PATI10L
PARANAPANEMA ON;PMAM3
Paulista Praia Hotel PNA;PPHT5L
PORTOBELLO ON;PTBL3
PDG Companhia Securitiza...;PDGS-CRI15B0
PDG REALT ON;PDGR3
Pedra Grandepna PNA;PDGD5L
Pet Center Comercio E Pa... ON;PETZ3
PETRORIO ON;PRIO3
PETROBRAS BR ON;BRDT3
PETROBRAS;PETR-DEB63L1
PETROBRAS ON;PETR3
PETROBRAS PN;PETR4
PETROBRAS;PETR-DEB63L0
PETROBRAS;PETR-DEB630B
PETROBRAS;PETR-DEB63B0
PETTENATI PN;PTNT4
PETTENATI ON;PTNT3
Pingu's PNA;PNGU5L
Plano & Plano Desenvolvi... ON;PLPL3
PLASCAR PART ON;PLAS3
PLASCAR PART ON;PLAS11
Polo Capital Securitizad...;PLSC-CRI1CB0
Polpar ON;PPAR3
POMIFRUTAS ON;FRTA3
PORTO SEGURO ON;PSSA3
PORTO SUDESTE;PSVM11
POSITIVO TEC ON;POSI3
PRATICA PNR M2 ON;PTCA3
PRATICA PNR M2 PN;PTCA11
Prefeitura Municipal Sao...;PMSP13B
CEPAC - PMSP;PMSP12BL
Prefeitura Municipal Sao...;PMSP11B
Prefeitura Municipal Sao...;PMSP12B
PRINER ON;PRNR3
Produtores Energeticos M... ON;PRMN3B
PROFARMA ON;PFRM3
Prompt Participacoes ON;PRPT3B
QUALICORP ON;QUAL3
Quality Software ON;QUSW3
RAIA DROGASIL ON;RADL3
RANDON PART ON;RAPT3
RANDON PART PN;RAPT4
RB Capital Companhia de ...;RBRA-CRA1CB0
RB Capital Companhia de ...;RBRA-CRA16B0
RBCAPITALRES;RBRA-CRA14B0
RB Capital Companhia de ...;RBRA-CRA19B0
RB Capital Companhia de ...;RBRA-CRI1XB0
RB Capital Companhia de ...;RBRA-CRIE60B
RB Capital Companhia de ...;RBRA-CRIE6B0
RBCAPITALRES;RBRA-CRI80B0
RB Capital Companhia de ...;RBRA-CRI77B0
RB Capital Companhia de ...;RBRA-CRA13B0
RBCAPITALRES;RBRA-CRIE7B0
RB Capital Companhia de ...;RBRA-CRA1BB0
RBCAPITALSEC;RBCS-CRI2RB0
RBCAPITALSEC;RBCS-CRI2QB0
RBCAPITALSEC;RBCS-CRI85B0
RBCAPITALSEC;RBCS-CRI73B0
RBCAPITALSEC;RBCS-CRI84B0
RBCAPITALSEC;RBCS-CRI86B0
RBCAPITALSEC;RBCS-CRI87B0
RBCAPITALSEC;RBCS-CRI2PB0
RBR Private CR;RBRY13
RECRUSUL PN;RCSL4
RECRUSUL ON;RCSL3
REDE ENERGIA ON;REDE1
REDE ENERGIA ON;REDE3
PET MANGUINH ON;RPMG3
RENOVA PN;RNEW4
RENOVA ON;RNEW3
LE LIS BLANC ON;LLIS3
Rio Cartado PNB;RCTA6L
GER PARANAP ON;GEPA3
GER PARANAP PN;GEPA4
Riopec Pnc PND;RIPC8L
Riopec Pnc PNB;RIPC6L
Riopec Pnc PNC;RIPC7L
RNI ON;RDNI3
Rocha Santos Agroind PNB;RCST6L
Rondistur Hoteis Turismo PNA;ROND5L
ROSSI RESID ON;RSID3
Rumo Malha Norte PNB;FRRN6B
Rumo Malha Norte PNA;FRRN5B
Rumo Malha Norte ON;FRRN3B
RUMO S.A ON;RAIL3
SANSUY ON;SNSY3
SANSUY PNB;SNSY6
SANSUY PNA;SNSY5
SANTOS BRASIL ON;STBP3
S�O CARLOS ON;SCAR3
Sao Francisco Textil PNA;CTVL5L
S�O MARTINHO ON;SMTO3
ALPARGATAS PN;ALPA4
ALPARGATAS ON;ALPA3
SPTURIS PNB;AHEB13
SP TURISMO PNA;AHEB5
SPTURIS ON;AHEB1
SP TURISMO PNB;AHEB6
SPTURIS PNA;AHEB11
SP TURISMO ON;AHEB3
SARAIVA LIVR;SLED11
SARAIVA LIVR;SLED13
SARAIVA LIVR PN;SLED4
SARAIVA LIVR ON;SLED1
SARAIVA LIVR ON;SLED3
SARAIVA LIVR PN;SLED2
SARAIVA LIVR;SLED12
Sauipe Sa (ex Parseg Par... ON;PSEG3
Sauipe Sa (ex Parseg Par... PN;PSEG4
SCHULZ ON;SHUL3
SCHULZ PN;SHUL4
SER EDUCACIONAL ON;SEER3
SERMAR AGRO PNA PNA;SRAG5L
ALIPERTI PN;APTI4
ALIPERTI ON;APTI3
Simpar ON;SIMH3
Sinop Agro Quimica PNA;SNOP5L
SINQIA ON;SQIA3
SLC AGRICOLA ON;SLCE3
Small Cap;SMLL11
SMART FIT PNB;SMFT6
SMART FIT PNA;SMFT13
SMARTFIT ON;SMFT3
SMILES ON;SMLS3
ALIANSCE SONAE ON;ALSO3
SONDOTECNICA PNB;SOND6
SONDOTECNICA ON;SOND3
SONDOTECNICA PNA;SOND5
SPRINGER PNB;SPRI6
SPRINGER PNA;SPRI5
SPRINGER ON;SPRI3
SPRINGS ON;SGPS3
STARA ON;STTR3
Statkraft Energias Renov... ON;STKF3
Sudeste ON;OPSE3B
Suinos Aves Nordeste Sa ... PN;SUIA4L
Sul 116 Participacoes ON;OPTS3B
SUL AMERICA ON;SULA3
SUL AMERICA PN;SULA4
